city,country,setting,temperature_summer,temperature_winter,temperature_fall,temperature_spring
Barcelona,Spain,mountainous|beach|urban,82,68,66,67
Tokyo,Japan,historical|beach,81,46,70,65
Cape Town,South Africa,urban,69,39,77,71
Banff,Canada,tropical|historical|urban,79,36,60,55
Bangkok,Thailand,historical|rural|urban,75,69,79,65
Reykjavik,Iceland,beach|tropical,82,74,51,56
Rio de Janeiro,Brazil,tropical|rural|urban,70,60,75,57
Kyoto,Japan,tropical|mountainous|beach,80,21,68,64
Santorini,Greece,rural|urban,82,21,72,64
Buenos Aires,Argentina,urban|beach,74,40,61,59
Lisbon,Portugal,beach|urban|rural,69,44,65,66
New York,USA,urban,67,25,62,63
Los Angeles,USA,tropical|urban,74,68,75,66
Sydney,Australia,historical|urban|mountainous,74,20,73,74
Auckland,New Zealand,historical|tropical|rural,90,52,55,67
Marrakech,Morocco,tropical,81,63,57,68
Seoul,South Korea,urban|tropical|rural,75,57,65,60
Paris,France,tropical|urban|rural,82,60,52,67
London,UK,tropical|beach,92,32,72,70
Istanbul,Turkey,rural,72,56,77,72
Dubai,UAE,historical|urban|beach,69,57,53,61
Moscow,Russia,tropical,69,53,58,71
Mexico City,Mexico,rural,85,20,71,66
Lima,Peru,tropical,74,35,69,74
Prague,Czech Republic,mountainous,93,21,50,68
Vienna,Austria,beach|historical,76,52,80,69
Budapest,Hungary,urban,80,65,68,73
Berlin,Germany,tropical,69,32,65,57
Warsaw,Poland,beach,87,65,54,71
Oslo,Norway,urban|beach,93,27,73,68
Bangkok Region,Thailand,urban|tropical,70,27,78,65
Seoul Region,South Korea,beach|tropical|mountainous,89,25,68,72
London Bay,UK,historical|mountainous,69,55,61,64
Dubai City,UAE,rural|historical|mountainous,91,64,56,71
Kyoto City,Japan,beach|tropical|historical,70,28,74,67
Berlin Bay,Germany,urban|beach|rural,72,63,76,62
Paris Valley,France,beach|rural,71,66,70,68
Bangkok Region,Thailand,historical,82,66,50,75
Buenos Aires Bay,Argentina,urban,76,33,71,75
Oslo City,Norway,beach|rural,77,63,69,58
Moscow Town,Russia,mountainous,73,47,60,66
Prague City,Czech Republic,beach|rural,83,50,61,73
